pair,float_tile_ratio,hybrid_overhead_fraction_over_float,separate_area_um2,hybrid_area_um2,hybrid_minus_separate_um2,winner
W4A8 + BF16 (1GHz fail),0.0625,0.3,237.5954476665039,1166.9805284007814,929.3850807342775,separate
W4A8 + BF16 (1GHz fail),0.0625,0.5,237.5954476665039,1346.5159943085937,1108.92054664209,separate
W4A8 + BF16 (1GHz fail),0.125,0.0,293.7002807626953,897.6773295390625,603.9770487763672,separate
W4A8 + BF16 (1GHz fail),0.125,0.05,293.7002807626953,942.5611960160156,648.8609152533204,separate
W4A8 + BF16 (1GHz fail),0.125,0.1,293.7002807626953,987.4450624929689,693.7447817302736,separate
W4A8 + BF16 (1GHz fail),0.125,0.2,293.7002807626953,1077.212795446875,783.5125146841797,separate
W4A8 + BF16 (1GHz fail),0.125,0.3,293.7002807626953,1166.9805284007814,873.2802476380862,separate
W4A8 + BF16 (1GHz fail),0.125,0.5,293.7002807626953,1346.5159943085937,1052.8157135458985,separate
W4A8 + BF16 (1GHz fail),0.25,0.0,405.9099469550781,897.6773295390625,491.7673825839844,separate
W4A8 + BF16 (1GHz fail),0.25,0.05,405.9099469550781,942.5611960160156,536.6512490609375,separate
W4A8 + BF16 (1GHz fail),0.25,0.1,405.9099469550781,987.4450624929689,581.5351155378908,separate
W4A8 + BF16 (1GHz fail),0.25,0.2,405.9099469550781,1077.212795446875,671.3028484917968,separate
W4A8 + BF16 (1GHz fail),0.25,0.3,405.9099469550781,1166.9805284007814,761.0705814457033,separate
W4A8 + BF16 (1GHz fail),0.25,0.5,405.9099469550781,1346.5159943085937,940.6060473535156,separate
W4A8 + BF16 (1GHz fail),0.5,0.0,630.3292793398438,897.6773295390625,267.34805019921873,separate
W4A8 + BF16 (1GHz fail),0.5,0.05,630.3292793398438,942.5611960160156,312.23191667617186,separate
W4A8 + BF16 (1GHz fail),0.5,0.1,630.3292793398438,987.4450624929689,357.1157831531251,separate
W4A8 + BF16 (1GHz fail),0.5,0.2,630.3292793398438,1077.212795446875,446.88351610703114,separate
W4A8 + BF16 (1GHz fail),0.5,0.3,630.3292793398438,1166.9805284007814,536.6512490609376,separate
W4A8 + BF16 (1GHz fail),0.5,0.5,630.3292793398438,1346.5159943085937,716.1867149687499,separate
W4A8 + BF16 (1GHz fail),0.75,0.0,854.7486117246093,897.6773295390625,42.928717814453194,separate
W4A8 + BF16 (1GHz fail),0.75,0.05,854.7486117246093,942.5611960160156,87.81258429140632,separate
W4A8 + BF16 (1GHz fail),0.75,0.1,854.7486117246093,987.4450624929689,132.69645076835957,separate
W4A8 + BF16 (1GHz fail),0.75,0.2,854.7486117246093,1077.212795446875,222.4641837222656,separate
W4A8 + BF16 (1GHz fail),0.75,0.3,854.7486117246093,1166.9805284007814,312.2319166761721,separate
W4A8 + BF16 (1GHz fail),0.75,0.5,854.7486117246093,1346.5159943085937,491.7673825839844,separate
W4A8 + BF16 (1GHz fail),1.0,0.0,1079.167944109375,897.6773295390625,-181.49061457031246,hybrid
W4A8 + BF16 (1GHz fail),1.0,0.05,1079.167944109375,942.5611960160156,-136.60674809335933,hybrid
W4A8 + BF16 (1GHz fail),1.0,0.1,1079.167944109375,987.4450624929689,-91.72288161640608,hybrid
W4A8 + BF16 (1GHz fail),1.0,0.2,1079.167944109375,1077.212795446875,-1.9551486625000507,hybrid
W4A8 + BF16 (1GHz fail),1.0,0.3,1079.167944109375,1166.9805284007814,87.81258429140644,separate
W4A8 + BF16 (1GHz fail),1.0,0.5,1079.167944109375,1346.5159943085937,267.34805019921873,separate
W8A8 + BF16 (1GHz fail),0.0625,0.0,320.85618390478515,897.6773295390625,576.8211456342774,separate
W8A8 + BF16 (1GHz fail),0.0625,0.05,320.85618390478515,942.5611960160156,621.7050121112304,separate
