mode,distribution,dot_length,samples,items_per_lane_per_cycle,reference_rms,rmse,nrmse_pct,relative_samples,median_relative_pct,p95_relative_pct,p99_relative_pct,max_abs_error
i4_bf16,outlier,4096,120,2,376.5700766997786,0.7189898464183582,0.19093122128011636,111,0.1935657710338747,0.940540150233234,1.5198799889112866,2.2389659881591797
i4_bf16,cancellation,16,2400,2,18.558906909802644,0.016112964747892478,0.08682065612054855,2400,0.05532608706500348,0.1698530777707233,0.2333987593672575,0.0791015625
i4_bf16,cancellation,64,1600,2,71.08554895253583,0.03259010738242386,0.04584631878440502,1600,0.03074746432983963,0.09247461280555741,0.11557895724265375,0.13671875
i4_bf16,cancellation,128,1200,2,141.29302949695918,0.04513273752251496,0.0319426497423118,1200,0.021622411423733372,0.06462124827760334,0.07713160027393069,0.144287109375
i4_bf16,cancellation,1024,360,2,1121.9969424013823,0.12830013383606226,0.011434980701593059,360,0.008178223794906944,0.022953103839900846,0.03037263721039528,0.39068603515625
i4_bf16,cancellation,4096,120,2,4505.548953600581,0.2596171932534192,0.005762165630138094,120,0.0038517178966178856,0.011276108180969035,0.01535168837038496,0.70391845703125
i8_bf16,gaussian,16,2400,1,125.18151121315357,0.21034328809142444,0.1680306349180121,2187,0.14215873236018167,0.8539385208957748,1.5717040942595877,1.16259765625
i8_bf16,gaussian,64,1600,1,249.52778190119494,0.4164106852170943,0.16687948814532388,1466,0.15293028896710745,0.946647064923047,1.6629144693113744,1.41650390625
i8_bf16,gaussian,128,1200,1,349.30081026495327,0.5786051203802707,0.16564665851802188,1107,0.14867322207342334,0.8483108254361403,1.8575108403817586,2.180450439453125
i8_bf16,gaussian,1024,360,1,988.0728404981219,1.597519820914902,0.1616803696486118,327,0.137148209156491,0.7106053739634183,1.27030620649932,4.921051025390625
i8_bf16,gaussian,4096,120,1,1992.859952961081,2.9698063915471833,0.14902233281041707,111,0.14429707658377455,1.1552732679294968,2.518977303372366,8.082406044006348
i8_bf16,positive,16,2400,1,337.07983474744634,0.2038365192639881,0.0604712884758326,2400,0.04206971897955285,0.11832923035093443,0.15570422181993293,0.921875
i8_bf16,positive,64,1600,1,1297.3122609898296,0.4094362187308168,0.03156034449396348,1600,0.021467723116669724,0.06256679753606297,0.07752695777077145,1.3927383422851562
i8_bf16,positive,128,1200,1,2613.2807347420903,0.6043338040255218,0.02312548345806271,1200,0.015555600269241047,0.04606534998529664,0.05951976584196127,2.14599609375
i8_bf16,positive,1024,360,1,20637.618131366937,1.7229863088017543,0.00834876533635925,360,0.0058251008647395896,0.015429486035130089,0.021088287031431643,4.954322814941406
i8_bf16,positive,4096,120,1,82816.0603085451,3.7318945017019387,0.0045062449092581084,120,0.0033860732741394974,0.008220217069060197,0.009529052562769631,10.773200988769531
